呼び径,配管径(mm),肉圧(mm),内径(D)(mm),摩擦係数
10A,17.3,1.2,14.9,0.028
15A,21.7,1.65,18.4,0.026
20A,27.2,1.65,23.9,0.0245
25A,34,1.65,30.7,0.023
32A,42.7,1.65,39.4,0.02
40A,48.6,1.65,45.3,0.019
50A,60.5,1.65,57.2,0.018
65A,76.3,2.1,72.1,0.017
80A,89.1,2.1,84.9,0.016
100A,114.3,2.1,110.1,0.015
125A,139.8,2.8,134.2,0.015
150A,165.2,2.8,159.6,0.015
200A,216.3,2.8,210.7,0.015
300A,318.5,40,238.5,0.015
250A,267.4,3.4,260.6,0.015
350A,355.6,40,275.6,0.015
400A,406.4,45,316.4,0.015
450A,457.2,45,367.2,0.015
500A,508,50,408,0.015
550A,558.8,50,458.8,0.015
